fold,auc,eer,best_epoch,epochs,parameters
1,0.9901960784313726,0.05572755417956657,18,33,1665
2,1.0,0.0,60,75,1665
3,0.9979360165118679,0.046955624355005166,31,46,1665
4,0.9865841073271413,0.01470588235294118,83,98,1665
5,0.9948400412796697,0.01470588235294118,26,41,1665
