fold,auc,eer,best_epoch,epochs,parameters
1,0.9963880288957688,0.023477812177502583,38,53,513
2,0.9958720330237358,0.01470588235294118,200,200,513
3,1.0,0.0,94,109,513
4,0.9855521155830753,0.023477812177502583,199,200,513
5,0.9979360165118679,0.01470588235294118,152,167,513
