model,development_eer,development_auc,parameters
MLP-2 (16-8),0.02404540763673892,0.9948400412796697,641
MLP-3 (32-16),0.02404540763673892,0.9937048503611972,1537
MLP-1 (16),0.032249742002063986,0.9938080495356036,513
MLP-4 (32-16-8),0.03519091847265221,0.9913519091847266,1665
