fold,auc,eer,best_epoch,epochs,parameters
1,0.9927760577915377,0.032249742002063986,16,31,1537
2,1.0,0.0,200,200,1537
3,0.9979360165118679,0.046955624355005166,20,35,1537
4,0.9829721362229101,0.023477812177502583,42,57,1537
5,0.9958720330237358,0.01470588235294118,24,39,1537
