fold,auc,eer,best_epoch,epochs,parameters
1,0.9963880288957689,0.01470588235294118,25,40,641
2,1.0,0.0,200,200,641
3,0.9989680082559339,0.008771929824561403,44,59,641
4,0.9871001031991744,0.023477812177502583,52,67,641
5,0.9932920536635707,0.01470588235294118,37,52,641
